Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,#NAME?,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53
423,name,name2562,Web,complete,insertValue,2019-03-07T16:11:15.090+11:00,surname,surname2562,Web,complete,insertValue,2019-03-07T16:11:23.759+11:00,age,30,Web,complete,insertValue,2019-03-07T16:11:33.760+11:00,2,type,Web,complete,insertValue,2019-03-07T16:11:34.774+11:00,B1,Web,complete,clickButton,2019-03-07T16:11:40.487+11:00,insertValue,B,3149,Excel,2,complete,2019-03-07T16:11:45.933+11:00,Web,complete,goToUrl,2019-03-07T16:11:45.933+11:00,www.webpage2.com,value2,value3149,Web,complete,copy,2019-03-07T16:12:00.456+11:00,finalCode,vaue3149,Web,complete,paste
424,name,name1163,Web,complete,insertValue,2019-03-07T16:12:14.578+11:00,surname,surname1163,Web,complete,insertValue,2019-03-07T16:12:21.689+11:00,age,30,Web,complete,insertValue,2019-03-07T16:12:31.749+11:00,1,type,Web,complete,insertValue,2019-03-07T16:12:31.749+11:00,B1,Web,complete,clickButton,2019-03-07T16:12:35.845+11:00,insertValue,B,4916,Excel,36,complete,2019-03-07T16:12:37.138+11:00,Web,complete,goToUrl,2019-03-07T16:12:45.808+11:00,www.webpage2.com,value2,value4916,Web,complete,copy,2019-03-07T16:12:52.042+11:00,finalCode,vaue4916,Web,complete,paste
425,name,name1267,Web,complete,insertValue,2019-03-07T16:13:07.404+11:00,surname,surname1267,Web,complete,insertValue,2019-03-07T16:13:11.376+11:00,age,40,Web,complete,insertValue,2019-03-07T16:13:24.613+11:00,4,type,Web,complete,insertValue,2019-03-07T16:13:29.985+11:00,B4,Web,complete,clickButton,2019-03-07T16:13:40.867+11:00,Web,complete,goToUrl,2019-03-07T16:13:43.433+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T16:13:45.597+11:00,valueX,valuex1267,Web,complete,insertValue,2019-03-07T16:13:49.703+11:00,Cancel,Web,complete,clickButton,2019-03-07T16:13:53.144+11:00,,
426,name,name303,Web,complete,insertValue,2019-03-07T16:14:03.144+11:00,surname,surname303,Web,complete,insertValue,2019-03-07T16:14:12.391+11:00,age,24,Web,complete,insertValue,2019-03-07T16:14:23.032+11:00,3,type,Web,complete,insertValue,2019-03-07T16:14:34.016+11:00,B4,Web,complete,clickButton,2019-03-07T16:14:43.984+11:00,Excel,complete,openFile,Sheet1,2019-03-07T16:14:45.963+11:00,data123.xls,2318,Excel,complete,findValue,FALSE,2019-03-07T16:14:48.513+11:00,copy,B,value303,Excel,1,complete,2019-03-07T16:14:52.951+11:00,paste,C,vaue303,Excel
427,name,name348,Web,complete,insertValue,2019-03-07T16:15:08.609+11:00,surname,surname348,Web,complete,insertValue,2019-03-07T16:15:17.483+11:00,age,29,Web,complete,insertValue,2019-03-07T16:15:29.390+11:00,2,type,Web,complete,insertValue,2019-03-07T16:15:29.662+11:00,B1,Web,complete,clickButton,2019-03-07T16:15:40.500+11:00,insertValue,B,3510,Excel,35,complete,2019-03-07T16:15:44.181+11:00,Web,complete,goToUrl,2019-03-07T16:15:51.274+11:00,www.webpage2.com,value2,value3510,Web,complete,copy,2019-03-07T16:15:53.619+11:00,paste,C,vaue3510,Excel,2
428,name,name1945,Web,complete,insertValue,2019-03-07T16:16:08.811+11:00,surname,surname1945,Web,complete,insertValue,2019-03-07T16:16:11.558+11:00,age,26,Web,complete,insertValue,2019-03-07T16:16:20.322+11:00,1,type,Web,complete,insertValue,2019-03-07T16:16:20.322+11:00,B1,Web,complete,clickButton,2019-03-07T16:16:23.109+11:00,insertValue,B,1738,Excel,25,complete,2019-03-07T16:16:24.949+11:00,Web,complete,goToUrl,2019-03-07T16:16:34.109+11:00,www.webpage2.com,value2,value1738,Web,complete,copy,2019-03-07T16:16:48.241+11:00,paste,C,vaue1738,Excel,2
429,name,name1584,Web,complete,insertValue,2019-03-07T16:17:03.494+11:00,surname,surname1584,Web,complete,insertValue,2019-03-07T16:17:20.252+11:00,age,32,Web,complete,insertValue,2019-03-07T16:17:34.063+11:00,3,type,Web,complete,insertValue,2019-03-07T16:17:40.863+11:00,B4,Web,complete,clickButton,2019-03-07T16:17:50.362+11:00,Web,complete,goToUrl,2019-03-07T16:17:53.488+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T16:17:57.406+11:00,valueX,valuex1584,Web,complete,insertValue,2019-03-07T16:18:06.320+11:00,Cancel,Web,complete,clickButton,2019-03-07T16:18:09.225+11:00,,
430,name,name2157,Web,complete,insertValue,2019-03-07T16:18:19.225+11:00,surname,surname2157,Web,complete,insertValue,2019-03-07T16:18:24.853+11:00,age,44,Web,complete,insertValue,2019-03-07T16:18:39.146+11:00,4,type,Web,complete,insertValue,2019-03-07T16:18:47.905+11:00,B4,Web,complete,clickButton,2019-03-07T16:18:52.860+11:00,Excel,complete,openFile,Sheet1,2019-03-07T16:18:55.315+11:00,data123.xls,3184,Excel,complete,findValue,TRUE,2019-03-07T16:18:58.831+11:00,copy,B,value2157,Excel,1,complete,2019-03-07T16:19:01.166+11:00,paste,C,vaue2157,Excel
431,name,name2089,Web,complete,insertValue,2019-03-07T16:19:18.772+11:00,surname,surname2089,Web,complete,insertValue,2019-03-07T16:19:20.524+11:00,age,32,Web,complete,insertValue,2019-03-07T16:19:22.352+11:00,1,type,Web,complete,insertValue,2019-03-07T16:19:34.844+11:00,B1,Web,complete,clickButton,2019-03-07T16:19:47.687+11:00,insertValue,B,1847,Excel,34,complete,2019-03-07T16:19:50.285+11:00,Web,complete,goToUrl,2019-03-07T16:20:06.298+11:00,www.webpage2.com,value2,value1847,Web,complete,copy,2019-03-07T16:20:15.563+11:00,finalCode,vaue1847,Web,complete,paste
432,name,name698,Web,complete,insertValue,2019-03-07T16:20:34.039+11:00,surname,surname698,Web,complete,insertValue,2019-03-07T16:20:43.749+11:00,age,50,Web,complete,insertValue,2019-03-07T16:20:47.288+11:00,1,type,Web,complete,insertValue,2019-03-07T16:20:59.260+11:00,B1,Web,complete,clickButton,2019-03-07T16:21:19.465+11:00,insertValue,B,2726,Excel,31,complete,2019-03-07T16:21:22.675+11:00,Web,complete,goToUrl,2019-03-07T16:21:27.510+11:00,www.webpage2.com,value2,value2726,Web,complete,copy,2019-03-07T16:21:30.797+11:00,finalCode,vaue2726,Web,complete,paste
433,name,name2469,Web,complete,insertValue,2019-03-07T16:21:48.469+11:00,surname,surname2469,Web,complete,insertValue,2019-03-07T16:21:55.569+11:00,age,20,Web,complete,insertValue,2019-03-07T16:22:11.908+11:00,3,type,Web,complete,insertValue,2019-03-07T16:22:18.098+11:00,B4,Web,complete,clickButton,2019-03-07T16:22:20.597+11:00,Excel,complete,openFile,Sheet1,2019-03-07T16:22:24.437+11:00,data123.xls,3562,Excel,complete,findValue,TRUE,2019-03-07T16:22:27.884+11:00,copy,B,value2469,Excel,1,complete,2019-03-07T16:22:31.721+11:00,finalCode,vaue2469,Web,complete
434,name,name948,Web,complete,insertValue,2019-03-07T16:22:45.032+11:00,surname,surname948,Web,complete,insertValue,2019-03-07T16:22:53.410+11:00,age,27,Web,complete,insertValue,2019-03-07T16:23:04.220+11:00,3,type,Web,complete,insertValue,2019-03-07T16:23:15.163+11:00,B4,Web,complete,clickButton,2019-03-07T16:23:18.303+11:00,Web,complete,goToUrl,2019-03-07T16:23:22.161+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T16:23:26.035+11:00,valueX,valuex948,Web,complete,insertValue,2019-03-07T16:23:38.886+11:00,Cancel,Web,complete,clickButton,2019-03-07T16:23:41.544+11:00,,
435,name,name911,Web,complete,insertValue,2019-03-07T16:23:51.544+11:00,surname,surname911,Web,complete,insertValue,2019-03-07T16:23:53.339+11:00,age,23,Web,complete,insertValue,2019-03-07T16:24:09.552+11:00,2,type,Web,complete,insertValue,2019-03-07T16:24:24.767+11:00,B1,Web,complete,clickButton,2019-03-07T16:24:33.164+11:00,insertValue,B,3724,Excel,11,complete,2019-03-07T16:24:36.966+11:00,Web,complete,goToUrl,2019-03-07T16:24:42.552+11:00,www.webpage2.com,value2,value3724,Web,complete,copy,2019-03-07T16:24:50.708+11:00,paste,C,vaue3724,Excel,2
436,name,name1746,Web,complete,insertValue,2019-03-07T16:25:08.360+11:00,surname,surname1746,Web,complete,insertValue,2019-03-07T16:25:17.247+11:00,age,24,Web,complete,insertValue,2019-03-07T16:25:24.325+11:00,3,type,Web,complete,insertValue,2019-03-07T16:25:33.777+11:00,B4,Web,complete,clickButton,2019-03-07T16:25:47.315+11:00,Web,complete,goToUrl,2019-03-07T16:25:49.727+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T16:25:51.912+11:00,valueX,valuex1746,Web,complete,insertValue,2019-03-07T16:26:03.113+11:00,OK,Web,complete,clickButton,2019-03-07T16:26:04.434+11:00,,
437,name,name1141,Web,complete,insertValue,2019-03-07T16:26:14.434+11:00,surname,surname1141,Web,complete,insertValue,2019-03-07T16:26:26.496+11:00,age,29,Web,complete,insertValue,2019-03-07T16:26:28.075+11:00,1,type,Web,complete,insertValue,2019-03-07T16:26:31.774+11:00,B1,Web,complete,clickButton,2019-03-07T16:26:42.886+11:00,insertValue,B,4455,Excel,2,complete,2019-03-07T16:26:46.354+11:00,Web,complete,goToUrl,2019-03-07T16:26:49.937+11:00,www.webpage2.com,value2,value4455,Web,complete,copy,2019-03-07T16:26:54.761+11:00,finalCode,vaue4455,Web,complete,paste
438,name,name1275,Web,complete,insertValue,2019-03-07T16:27:13.108+11:00,surname,surname1275,Web,complete,insertValue,2019-03-07T16:27:29.600+11:00,age,24,Web,complete,insertValue,2019-03-07T16:27:46.666+11:00,4,type,Web,complete,insertValue,2019-03-07T16:27:57.147+11:00,B4,Web,complete,clickButton,2019-03-07T16:28:06.264+11:00,Web,complete,goToUrl,2019-03-07T16:28:07.919+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T16:28:11.321+11:00,valueX,valuex1275,Web,complete,insertValue,2019-03-07T16:28:11.321+11:00,OK,Web,complete,clickButton,2019-03-07T16:28:15.361+11:00,,
439,name,name1127,Web,complete,insertValue,2019-03-07T16:28:25.361+11:00,surname,surname1127,Web,complete,insertValue,2019-03-07T16:28:40.652+11:00,age,42,Web,complete,insertValue,2019-03-07T16:28:42.057+11:00,3,type,Web,complete,insertValue,2019-03-07T16:28:52.354+11:00,B4,Web,complete,clickButton,2019-03-07T16:29:04.838+11:00,Excel,complete,openFile,Sheet1,2019-03-07T16:29:06.593+11:00,data123.xls,3162,Excel,complete,findValue,TRUE,2019-03-07T16:29:08.400+11:00,copy,B,value1127,Excel,1,complete,2019-03-07T16:29:11.721+11:00,paste,C,vaue1127,Excel
440,name,name2843,Web,complete,insertValue,2019-03-07T16:29:31.304+11:00,surname,surname2843,Web,complete,insertValue,2019-03-07T16:29:40.137+11:00,age,36,Web,complete,insertValue,2019-03-07T16:29:47.968+11:00,4,type,Web,complete,insertValue,2019-03-07T16:29:55.100+11:00,B4,Web,complete,clickButton,2019-03-07T16:30:05.818+11:00,Web,complete,goToUrl,2019-03-07T16:30:07.923+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T16:30:11.720+11:00,valueX,valuex2843,Web,complete,insertValue,2019-03-07T16:30:17.495+11:00,OK,Web,complete,clickButton,2019-03-07T16:30:19.804+11:00,,
441,name,name666,Web,complete,insertValue,2019-03-07T16:30:29.804+11:00,surname,surname666,Web,complete,insertValue,2019-03-07T16:30:34.711+11:00,age,20,Web,complete,insertValue,2019-03-07T16:30:40.629+11:00,3,type,Web,complete,insertValue,2019-03-07T16:30:44.852+11:00,B4,Web,complete,clickButton,2019-03-07T16:30:56.827+11:00,Web,complete,goToUrl,2019-03-07T16:31:00.395+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T16:31:04.287+11:00,valueX,valuex666,Web,complete,insertValue,2019-03-07T16:31:17.430+11:00,Cancel,Web,complete,clickButton,2019-03-07T16:31:19.852+11:00,,
442,name,name2248,Web,complete,insertValue,2019-03-07T16:31:29.852+11:00,surname,surname2248,Web,complete,insertValue,2019-03-07T16:31:35.400+11:00,age,26,Web,complete,insertValue,2019-03-07T16:31:45.517+11:00,4,type,Web,complete,insertValue,2019-03-07T16:31:56.773+11:00,B4,Web,complete,clickButton,2019-03-07T16:32:01.990+11:00,Excel,complete,openFile,Sheet1,2019-03-07T16:32:04.776+11:00,data123.xls,3271,Excel,complete,findValue,FALSE,2019-03-07T16:32:06.510+11:00,copy,B,value2248,Excel,1,complete,2019-03-07T16:32:11.121+11:00,finalCode,vaue2248,Web,complete
443,name,name1768,Web,complete,insertValue,2019-03-07T16:32:26.184+11:00,surname,surname1768,Web,complete,insertValue,2019-03-07T16:32:38.840+11:00,age,28,Web,complete,insertValue,2019-03-07T16:32:42.362+11:00,1,type,Web,complete,insertValue,2019-03-07T16:32:51.045+11:00,B1,Web,complete,clickButton,2019-03-07T16:33:02.230+11:00,insertValue,B,3177,Excel,27,complete,2019-03-07T16:33:03.646+11:00,Web,complete,goToUrl,2019-03-07T16:33:12.555+11:00,www.webpage2.com,value2,value3177,Web,complete,copy,2019-03-07T16:33:21.696+11:00,finalCode,vaue3177,Web,complete,paste
444,name,name615,Web,complete,insertValue,2019-03-07T16:33:38.998+11:00,surname,surname615,Web,complete,insertValue,2019-03-07T16:33:46.212+11:00,age,24,Web,complete,insertValue,2019-03-07T16:33:56.467+11:00,3,type,Web,complete,insertValue,2019-03-07T16:34:11.123+11:00,B4,Web,complete,clickButton,2019-03-07T16:34:17.957+11:00,Web,complete,goToUrl,2019-03-07T16:34:21.284+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T16:34:26.572+11:00,valueX,valuex615,Web,complete,insertValue,2019-03-07T16:34:35.202+11:00,Cancel,Web,complete,clickButton,2019-03-07T16:34:38.344+11:00,,
445,name,name2058,Web,complete,insertValue,2019-03-07T16:34:48.344+11:00,surname,surname2058,Web,complete,insertValue,2019-03-07T16:34:54.577+11:00,age,25,Web,complete,insertValue,2019-03-07T16:34:54.577+11:00,1,type,Web,complete,insertValue,2019-03-07T16:35:05.609+11:00,B1,Web,complete,clickButton,2019-03-07T16:35:08.044+11:00,insertValue,B,4365,Excel,28,complete,2019-03-07T16:35:09.771+11:00,Web,complete,goToUrl,2019-03-07T16:35:17.119+11:00,www.webpage2.com,value2,value4365,Web,complete,copy,2019-03-07T16:35:20.089+11:00,finalCode,vaue4365,Web,complete,paste
446,name,name2068,Web,complete,insertValue,2019-03-07T16:35:36.585+11:00,surname,surname2068,Web,complete,insertValue,2019-03-07T16:35:48.668+11:00,age,21,Web,complete,insertValue,2019-03-07T16:35:57.926+11:00,4,type,Web,complete,insertValue,2019-03-07T16:36:14.786+11:00,B4,Web,complete,clickButton,2019-03-07T16:36:26.610+11:00,Web,complete,goToUrl,2019-03-07T16:36:29.917+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T16:36:34.602+11:00,valueX,valuex2068,Web,complete,insertValue,2019-03-07T16:36:44.021+11:00,OK,Web,complete,clickButton,2019-03-07T16:36:48.491+11:00,,
447,name,name682,Web,complete,insertValue,2019-03-07T16:36:58.491+11:00,surname,surname682,Web,complete,insertValue,2019-03-07T16:37:06.312+11:00,age,22,Web,complete,insertValue,2019-03-07T16:37:17.646+11:00,4,type,Web,complete,insertValue,2019-03-07T16:37:23.990+11:00,B4,Web,complete,clickButton,2019-03-07T16:37:34.029+11:00,Web,complete,goToUrl,2019-03-07T16:37:36.046+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T16:37:37.144+11:00,valueX,valuex682,Web,complete,insertValue,2019-03-07T16:37:46.955+11:00,Cancel,Web,complete,clickButton,2019-03-07T16:37:50.658+11:00,,
448,name,name1018,Web,complete,insertValue,2019-03-07T16:38:00.658+11:00,surname,surname1018,Web,complete,insertValue,2019-03-07T16:38:03.806+11:00,age,27,Web,complete,insertValue,2019-03-07T16:38:10.586+11:00,1,type,Web,complete,insertValue,2019-03-07T16:38:18.578+11:00,B1,Web,complete,clickButton,2019-03-07T16:38:23.544+11:00,insertValue,B,2690,Excel,38,complete,2019-03-07T16:38:26.304+11:00,Web,complete,goToUrl,2019-03-07T16:38:34.032+11:00,www.webpage2.com,value2,value2690,Web,complete,copy,2019-03-07T16:38:55.483+11:00,paste,C,vaue2690,Excel,2
449,name,name490,Web,complete,insertValue,2019-03-07T16:39:11.031+11:00,surname,surname490,Web,complete,insertValue,2019-03-07T16:39:19.906+11:00,age,25,Web,complete,insertValue,2019-03-07T16:39:27.042+11:00,3,type,Web,complete,insertValue,2019-03-07T16:39:35.657+11:00,B4,Web,complete,clickButton,2019-03-07T16:39:43.331+11:00,Web,complete,goToUrl,2019-03-07T16:39:48.338+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T16:39:50.717+11:00,valueX,valuex490,Web,complete,insertValue,2019-03-07T16:40:03.025+11:00,OK,Web,complete,clickButton,2019-03-07T16:40:04.688+11:00,,
450,name,name34,Web,complete,insertValue,2019-03-07T16:40:14.688+11:00,surname,surname34,Web,complete,insertValue,2019-03-07T16:40:22.971+11:00,age,50,Web,complete,insertValue,2019-03-07T16:40:33.670+11:00,4,type,Web,complete,insertValue,2019-03-07T16:40:40.984+11:00,B4,Web,complete,clickButton,2019-03-07T16:40:47.918+11:00,Web,complete,goToUrl,2019-03-07T16:40:51.362+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T16:40:54.821+11:00,valueX,valuex34,Web,complete,insertValue,2019-03-07T16:40:59.123+11:00,OK,Web,complete,clickButton,2019-03-07T16:41:02.506+11:00,,
451,name,name114,Web,complete,insertValue,2019-03-07T16:41:12.506+11:00,surname,surname114,Web,complete,insertValue,2019-03-07T16:41:21.529+11:00,age,35,Web,complete,insertValue,2019-03-07T16:41:21.529+11:00,4,type,Web,complete,insertValue,2019-03-07T16:41:28.961+11:00,B4,Web,complete,clickButton,2019-03-07T16:41:36.261+11:00,Web,complete,goToUrl,2019-03-07T16:41:37.457+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T16:41:37.898+11:00,valueX,valuex114,Web,complete,insertValue,2019-03-07T16:41:48.043+11:00,Cancel,Web,complete,clickButton,2019-03-07T16:41:50.851+11:00,,
452,name,name2569,Web,complete,insertValue,2019-03-07T16:42:00.851+11:00,surname,surname2569,Web,complete,insertValue,2019-03-07T16:42:01.313+11:00,age,18,Web,complete,insertValue,2019-03-07T16:42:14.736+11:00,1,type,Web,complete,insertValue,2019-03-07T16:42:20.989+11:00,B1,Web,complete,clickButton,2019-03-07T16:42:26.267+11:00,insertValue,B,3899,Excel,7,complete,2019-03-07T16:42:27.845+11:00,Web,complete,goToUrl,2019-03-07T16:42:31.819+11:00,www.webpage2.com,value2,value3899,Web,complete,copy,2019-03-07T16:42:39.384+11:00,finalCode,vaue3899,Web,complete,paste
453,name,name2012,Web,complete,insertValue,2019-03-07T16:42:54.655+11:00,surname,surname2012,Web,complete,insertValue,2019-03-07T16:43:02.373+11:00,age,44,Web,complete,insertValue,2019-03-07T16:43:20.836+11:00,1,type,Web,complete,insertValue,2019-03-07T16:43:23.438+11:00,B1,Web,complete,clickButton,2019-03-07T16:43:30.870+11:00,insertValue,B,4597,Excel,35,complete,2019-03-07T16:43:34.737+11:00,Web,complete,goToUrl,2019-03-07T16:43:41.952+11:00,www.webpage2.com,value2,value4597,Web,complete,copy,2019-03-07T16:43:46.919+11:00,paste,C,vaue4597,Excel,2
454,name,name2996,Web,complete,insertValue,2019-03-07T16:44:03.968+11:00,surname,surname2996,Web,complete,insertValue,2019-03-07T16:44:10.602+11:00,age,25,Web,complete,insertValue,2019-03-07T16:44:18.723+11:00,1,type,Web,complete,insertValue,2019-03-07T16:44:25.838+11:00,B1,Web,complete,clickButton,2019-03-07T16:44:34.348+11:00,insertValue,B,2518,Excel,17,complete,2019-03-07T16:44:34.682+11:00,Web,complete,goToUrl,2019-03-07T16:44:36.708+11:00,www.webpage2.com,value2,value2518,Web,complete,copy,2019-03-07T16:44:41.662+11:00,paste,C,vaue2518,Excel,2
455,name,name1310,Web,complete,insertValue,2019-03-07T16:44:59.667+11:00,surname,surname1310,Web,complete,insertValue,2019-03-07T16:45:05.441+11:00,age,21,Web,complete,insertValue,2019-03-07T16:45:17.027+11:00,1,type,Web,complete,insertValue,2019-03-07T16:45:23.883+11:00,B1,Web,complete,clickButton,2019-03-07T16:45:39.198+11:00,insertValue,B,2194,Excel,35,complete,2019-03-07T16:45:41.602+11:00,Web,complete,goToUrl,2019-03-07T16:45:54.435+11:00,www.webpage2.com,value2,value2194,Web,complete,copy,2019-03-07T16:46:03.060+11:00,finalCode,vaue2194,Web,complete,paste
456,name,name1174,Web,complete,insertValue,2019-03-07T16:46:18.422+11:00,surname,surname1174,Web,complete,insertValue,2019-03-07T16:46:26.995+11:00,age,24,Web,complete,insertValue,2019-03-07T16:46:37.988+11:00,3,type,Web,complete,insertValue,2019-03-07T16:46:47.698+11:00,B4,Web,complete,clickButton,2019-03-07T16:46:58.359+11:00,Excel,complete,openFile,Sheet1,2019-03-07T16:47:00.444+11:00,data123.xls,1439,Excel,complete,findValue,TRUE,2019-03-07T16:47:03.508+11:00,copy,B,value1174,Excel,1,complete,2019-03-07T16:47:09.337+11:00,paste,C,vaue1174,Excel
457,name,name2431,Web,complete,insertValue,2019-03-07T16:47:22.681+11:00,surname,surname2431,Web,complete,insertValue,2019-03-07T16:47:37.980+11:00,age,25,Web,complete,insertValue,2019-03-07T16:47:44.165+11:00,3,type,Web,complete,insertValue,2019-03-07T16:47:52.543+11:00,B4,Web,complete,clickButton,2019-03-07T16:48:07.545+11:00,Excel,complete,openFile,Sheet1,2019-03-07T16:48:11.724+11:00,data123.xls,4954,Excel,complete,findValue,FALSE,2019-03-07T16:48:15.340+11:00,copy,B,value2431,Excel,1,complete,2019-03-07T16:48:19.087+11:00,paste,C,vaue2431,Excel
458,name,name2323,Web,complete,insertValue,2019-03-07T16:48:38.403+11:00,surname,surname2323,Web,complete,insertValue,2019-03-07T16:48:48.940+11:00,age,19,Web,complete,insertValue,2019-03-07T16:49:01.041+11:00,2,type,Web,complete,insertValue,2019-03-07T16:49:04.886+11:00,B1,Web,complete,clickButton,2019-03-07T16:49:09.673+11:00,insertValue,B,2207,Excel,12,complete,2019-03-07T16:49:13.554+11:00,Web,complete,goToUrl,2019-03-07T16:49:21.086+11:00,www.webpage2.com,value2,value2207,Web,complete,copy,2019-03-07T16:49:27.736+11:00,finalCode,vaue2207,Web,complete,paste
459,name,name1768,Web,complete,insertValue,2019-03-07T16:49:43.266+11:00,surname,surname1768,Web,complete,insertValue,2019-03-07T16:49:49.211+11:00,age,35,Web,complete,insertValue,2019-03-07T16:49:57.513+11:00,1,type,Web,complete,insertValue,2019-03-07T16:50:05.787+11:00,B1,Web,complete,clickButton,2019-03-07T16:50:12.219+11:00,insertValue,B,4424,Excel,33,complete,2019-03-07T16:50:14.739+11:00,Web,complete,goToUrl,2019-03-07T16:50:27.729+11:00,www.webpage2.com,value2,value4424,Web,complete,copy,2019-03-07T16:50:34.659+11:00,paste,C,vaue4424,Excel,2
