Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65
144,Clients,Web,complete,clickButton,2019-03-05T14:12:38.986+11:00,clientID,ID1973,Web,complete,insertValue,2019-03-05T14:12:42.317+11:00,Web,complete,pressKey,2019-03-05T14:12:53.638+11:00,enter,update,ID1973,Web,complete,clickButton,2019-03-05T14:12:56.952+11:00,address,addA319addB1946,Web,complete,insertValue,2019-03-05T14:13:01.773+11:00,Australia,country,Web,complete,insertValue,2019-03-05T14:13:07.688+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T14:13:08.386+11:00,ID1973,address,addB1946,Web,complete,copy,2019-03-05T14:13:13.218+11:00,paste,A,addB1946,Excel,5,complete,2019-03-05T14:13:19.775+11:00,save,Excel,complete,saveFile,2019-03-05T14:13:21.939+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T14:13:26.035+11:00
145,Clients,Web,complete,clickButton,2019-03-05T14:13:39.984+11:00,clientID,ID132,Web,complete,insertValue,2019-03-05T14:13:43.869+11:00,Web,complete,pressKey,2019-03-05T14:13:51.981+11:00,enter,update,ID132,Web,complete,clickButton,2019-03-05T14:13:55.708+11:00,address,addA1173addB450,Web,complete,insertValue,2019-03-05T14:14:00.726+11:00,Country45,country,Web,complete,insertValue,2019-03-05T14:14:12.503+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:14:22.337+11:00,OK,Web,complete,clickButton,2019-03-05T14:14:25.794+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:14:27.961+11:00,,,,,,,,,,,,,,,
146,Clients,Web,complete,clickButton,2019-03-05T14:14:41.327+11:00,clientID,ID1577,Web,complete,insertValue,2019-03-05T14:14:46.513+11:00,Web,complete,pressKey,2019-03-05T14:14:59.729+11:00,enter,update,ID1577,Web,complete,clickButton,2019-03-05T14:15:03.694+11:00,address,addA1796addB1249,Web,complete,insertValue,2019-03-05T14:15:06.549+11:00,Australia,country,Web,complete,insertValue,2019-03-05T14:15:20.110+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T14:15:23.227+11:00,ID1577,address,addB1249,Web,complete,copy,2019-03-05T14:15:32.834+11:00,paste,A,addB1249,Excel,5,complete,2019-03-05T14:15:48.846+11:00,save,Excel,complete,saveFile,2019-03-05T14:15:51.199+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T14:15:53.712+11:00
147,Clients,Web,complete,clickButton,2019-03-05T14:16:07.103+11:00,clientID,ID1750,Web,complete,insertValue,2019-03-05T14:16:09.043+11:00,Web,complete,pressKey,2019-03-05T14:16:15.467+11:00,enter,update,ID1750,Web,complete,clickButton,2019-03-05T14:16:17.948+11:00,address,addA1902addB1433,Web,complete,insertValue,2019-03-05T14:16:21.142+11:00,Country66,country,Web,complete,insertValue,2019-03-05T14:16:25.772+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:16:41.717+11:00,OK,Web,complete,clickButton,2019-03-05T14:16:44.794+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:16:47.687+11:00,,,,,,,,,,,,,,,
148,Clients,Web,complete,clickButton,2019-03-05T14:17:00.194+11:00,clientID,ID900,Web,complete,insertValue,2019-03-05T14:17:02.928+11:00,Web,complete,pressKey,2019-03-05T14:17:20.626+11:00,enter,update,ID900,Web,complete,clickButton,2019-03-05T14:17:23.811+11:00,address,addA540addB864,Web,complete,insertValue,2019-03-05T14:17:27.287+11:00,Australia,country,Web,complete,insertValue,2019-03-05T14:17:46.521+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T14:17:57.967+11:00,ID900,address,addB864,Web,complete,copy,2019-03-05T14:18:09.692+11:00,paste,A,addB864,Excel,5,complete,2019-03-05T14:18:17.066+11:00,save,Excel,complete,saveFile,2019-03-05T14:18:20.082+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T14:18:24.097+11:00
149,Clients,Web,complete,clickButton,2019-03-05T14:18:36.124+11:00,clientID,ID1803,Web,complete,insertValue,2019-03-05T14:18:39.217+11:00,Web,complete,pressKey,2019-03-05T14:18:49.830+11:00,enter,update,ID1803,Web,complete,clickButton,2019-03-05T14:18:52.308+11:00,address,addA841addB660,Web,complete,insertValue,2019-03-05T14:18:54.767+11:00,Country141,country,Web,complete,insertValue,2019-03-05T14:18:54.767+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:19:06.557+11:00,OK,Web,complete,clickButton,2019-03-05T14:19:09.857+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:19:11.800+11:00,,,,,,,,,,,,,,,
150,Clients,Web,complete,clickButton,2019-03-05T14:19:24.531+11:00,clientID,ID1649,Web,complete,insertValue,2019-03-05T14:19:26.797+11:00,Web,complete,pressKey,2019-03-05T14:19:26.797+11:00,enter,update,ID1649,Web,complete,clickButton,2019-03-05T14:19:30.031+11:00,address,addA1757addB1301,Web,complete,insertValue,2019-03-05T14:19:33.511+11:00,Australia,country,Web,complete,insertValue,2019-03-05T14:19:40.087+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T14:19:47.903+11:00,ID1649,address,addB1301,Web,complete,copy,2019-03-05T14:19:59.423+11:00,paste,A,addB1301,Excel,5,complete,2019-03-05T14:20:11.972+11:00,save,Excel,complete,saveFile,2019-03-05T14:20:14.752+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T14:20:18.837+11:00
151,Clients,Web,complete,clickButton,2019-03-05T14:20:31.634+11:00,clientID,ID1693,Web,complete,insertValue,2019-03-05T14:20:34.928+11:00,Web,complete,pressKey,2019-03-05T14:20:43.676+11:00,enter,update,ID1693,Web,complete,clickButton,2019-03-05T14:20:46.792+11:00,address,addA218addB1676,Web,complete,insertValue,2019-03-05T14:20:49.903+11:00,Country41,country,Web,complete,insertValue,2019-03-05T14:21:01.253+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:21:10.995+11:00,OK,Web,complete,clickButton,2019-03-05T14:21:14.639+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:21:16.499+11:00,,,,,,,,,,,,,,,
152,Clients,Web,complete,clickButton,2019-03-05T14:21:30.204+11:00,clientID,ID463,Web,complete,insertValue,2019-03-05T14:21:34.673+11:00,Web,complete,pressKey,2019-03-05T14:21:45.638+11:00,enter,update,ID463,Web,complete,clickButton,2019-03-05T14:21:50.945+11:00,address,addA1935addB717,Web,complete,insertValue,2019-03-05T14:21:53.911+11:00,Country68,country,Web,complete,insertValue,2019-03-05T14:22:04.562+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:22:11.594+11:00,OK,Web,complete,clickButton,2019-03-05T14:22:13.532+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:22:16.873+11:00,,,,,,,,,,,,,,,
153,Clients,Web,complete,clickButton,2019-03-05T14:22:30.795+11:00,clientID,ID1757,Web,complete,insertValue,2019-03-05T14:22:31.009+11:00,Web,complete,pressKey,2019-03-05T14:22:39.430+11:00,enter,update,ID1757,Web,complete,clickButton,2019-03-05T14:22:43.147+11:00,address,addA1852addB48,Web,complete,insertValue,2019-03-05T14:22:46.322+11:00,Country47,country,Web,complete,insertValue,2019-03-05T14:22:55.577+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:23:10.115+11:00,OK,Web,complete,clickButton,2019-03-05T14:23:12.758+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:23:16.358+11:00,,,,,,,,,,,,,,,
154,Clients,Web,complete,clickButton,2019-03-05T14:23:29.163+11:00,clientID,ID363,Web,complete,insertValue,2019-03-05T14:23:31.501+11:00,Web,complete,pressKey,2019-03-05T14:23:37.851+11:00,enter,update,ID363,Web,complete,clickButton,2019-03-05T14:23:41.325+11:00,address,addA1959addB381,Web,complete,insertValue,2019-03-05T14:23:41.922+11:00,Country93,country,Web,complete,insertValue,2019-03-05T14:23:49.955+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:23:57.269+11:00,OK,Web,complete,clickButton,2019-03-05T14:23:58.871+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:24:01.523+11:00,,,,,,,,,,,,,,,
155,Clients,Web,complete,clickButton,2019-03-05T14:24:15.631+11:00,clientID,ID33,Web,complete,insertValue,2019-03-05T14:24:19.690+11:00,Web,complete,pressKey,2019-03-05T14:24:28.951+11:00,enter,update,ID33,Web,complete,clickButton,2019-03-05T14:24:32.879+11:00,address,addA844addB1995,Web,complete,insertValue,2019-03-05T14:24:36.010+11:00,Australia,country,Web,complete,insertValue,2019-03-05T14:24:40.930+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T14:24:55.214+11:00,ID33,address,addB1995,Web,complete,copy,2019-03-05T14:25:04.665+11:00,paste,A,addB1995,Excel,5,complete,2019-03-05T14:25:11.870+11:00,save,Excel,complete,saveFile,2019-03-05T14:25:13.516+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T14:25:15.838+11:00
156,Clients,Web,complete,clickButton,2019-03-05T14:25:28.623+11:00,clientID,ID205,Web,complete,insertValue,2019-03-05T14:25:34.035+11:00,Web,complete,pressKey,2019-03-05T14:25:34.035+11:00,enter,update,ID205,Web,complete,clickButton,2019-03-05T14:25:34.880+11:00,address,addA213addB1534,Web,complete,insertValue,2019-03-05T14:25:37.155+11:00,Country77,country,Web,complete,insertValue,2019-03-05T14:25:42.357+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:25:46.693+11:00,OK,Web,complete,clickButton,2019-03-05T14:25:49.335+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:25:51.767+11:00,,,,,,,,,,,,,,,
157,Clients,Web,complete,clickButton,2019-03-05T14:26:02.954+11:00,clientID,ID1000,Web,complete,insertValue,2019-03-05T14:26:06.139+11:00,Web,complete,pressKey,2019-03-05T14:26:30.423+11:00,enter,update,ID1000,Web,complete,clickButton,2019-03-05T14:26:32.265+11:00,address,addA159addB220,Web,complete,insertValue,2019-03-05T14:26:34.828+11:00,Australia,country,Web,complete,insertValue,2019-03-05T14:26:53.003+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T14:26:58.034+11:00,ID1000,address,addB220,Web,complete,copy,2019-03-05T14:27:11.760+11:00,paste,A,addB220,Excel,5,complete,2019-03-05T14:27:15.963+11:00,save,Excel,complete,saveFile,2019-03-05T14:27:18.861+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T14:27:20.630+11:00
158,Clients,Web,complete,clickButton,2019-03-05T14:27:34.458+11:00,clientID,ID676,Web,complete,insertValue,2019-03-05T14:27:36.260+11:00,Web,complete,pressKey,2019-03-05T14:27:44.892+11:00,enter,update,ID676,Web,complete,clickButton,2019-03-05T14:27:49.089+11:00,address,addA406addB673,Web,complete,insertValue,2019-03-05T14:27:52.665+11:00,Country137,country,Web,complete,insertValue,2019-03-05T14:28:06.693+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:28:14.528+11:00,OK,Web,complete,clickButton,2019-03-05T14:28:18.069+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:28:19.588+11:00,,,,,,,,,,,,,,,
159,Clients,Web,complete,clickButton,2019-03-05T14:28:30.337+11:00,clientID,ID1077,Web,complete,insertValue,2019-03-05T14:28:34.026+11:00,Web,complete,pressKey,2019-03-05T14:28:51.474+11:00,enter,update,ID1077,Web,complete,clickButton,2019-03-05T14:28:54.634+11:00,address,addA1829addB448,Web,complete,insertValue,2019-03-05T14:28:59.398+11:00,Australia,country,Web,complete,insertValue,2019-03-05T14:29:15.593+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T14:29:23.371+11:00,ID1077,address,addB448,Web,complete,copy,2019-03-05T14:29:34.769+11:00,paste,A,addB448,Excel,5,complete,2019-03-05T14:29:35.700+11:00,save,Excel,complete,saveFile,2019-03-05T14:29:37.808+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T14:29:40.640+11:00
160,Clients,Web,complete,clickButton,2019-03-05T14:29:55.785+11:00,clientID,ID1455,Web,complete,insertValue,2019-03-05T14:29:58.497+11:00,Web,complete,pressKey,2019-03-05T14:30:03.914+11:00,enter,update,ID1455,Web,complete,clickButton,2019-03-05T14:30:04.856+11:00,address,addA616addB707,Web,complete,insertValue,2019-03-05T14:30:06.241+11:00,Country42,country,Web,complete,insertValue,2019-03-05T14:30:13.885+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:30:24.314+11:00,OK,Web,complete,clickButton,2019-03-05T14:30:28.206+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:30:32.245+11:00,,,,,,,,,,,,,,,
161,Clients,Web,complete,clickButton,2019-03-05T14:30:46.189+11:00,clientID,ID1749,Web,complete,insertValue,2019-03-05T14:30:48.799+11:00,Web,complete,pressKey,2019-03-05T14:31:04.742+11:00,enter,update,ID1749,Web,complete,clickButton,2019-03-05T14:31:10.220+11:00,address,addA795addB1991,Web,complete,insertValue,2019-03-05T14:31:12.663+11:00,Country139,country,Web,complete,insertValue,2019-03-05T14:31:25.847+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:31:31.272+11:00,OK,Web,complete,clickButton,2019-03-05T14:31:32.708+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:31:35.478+11:00,,,,,,,,,,,,,,,
162,Clients,Web,complete,clickButton,2019-03-05T14:31:50.088+11:00,clientID,ID925,Web,complete,insertValue,2019-03-05T14:31:52.716+11:00,Web,complete,pressKey,2019-03-05T14:32:08.166+11:00,enter,update,ID925,Web,complete,clickButton,2019-03-05T14:32:11.750+11:00,address,addA1065addB1858,Web,complete,insertValue,2019-03-05T14:32:14.092+11:00,Country37,country,Web,complete,insertValue,2019-03-05T14:32:18.137+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:32:25.553+11:00,OK,Web,complete,clickButton,2019-03-05T14:32:26.555+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:32:28.928+11:00,,,,,,,,,,,,,,,
163,Clients,Web,complete,clickButton,2019-03-05T14:32:41.687+11:00,clientID,ID722,Web,complete,insertValue,2019-03-05T14:32:44.983+11:00,Web,complete,pressKey,2019-03-05T14:32:58.623+11:00,enter,update,ID722,Web,complete,clickButton,2019-03-05T14:33:01.376+11:00,address,addA706addB1430,Web,complete,insertValue,2019-03-05T14:33:05.284+11:00,Country5,country,Web,complete,insertValue,2019-03-05T14:33:11.991+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:33:19.073+11:00,OK,Web,complete,clickButton,2019-03-05T14:33:21.997+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:33:24.189+11:00,,,,,,,,,,,,,,,
164,Clients,Web,complete,clickButton,2019-03-05T14:33:38.032+11:00,clientID,ID260,Web,complete,insertValue,2019-03-05T14:33:39.838+11:00,Web,complete,pressKey,2019-03-05T14:33:45.850+11:00,enter,update,ID260,Web,complete,clickButton,2019-03-05T14:33:48.249+11:00,address,addA696addB1576,Web,complete,insertValue,2019-03-05T14:33:51.525+11:00,Australia,country,Web,complete,insertValue,2019-03-05T14:33:53.941+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T14:34:04.915+11:00,ID260,address,addB1576,Web,complete,copy,2019-03-05T14:34:13.565+11:00,paste,A,addB1576,Excel,5,complete,2019-03-05T14:34:29.091+11:00,save,Excel,complete,saveFile,2019-03-05T14:34:30.131+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T14:34:34.512+11:00
165,Clients,Web,complete,clickButton,2019-03-05T14:34:47.194+11:00,clientID,ID1253,Web,complete,insertValue,2019-03-05T14:34:51.201+11:00,Web,complete,pressKey,2019-03-05T14:34:51.201+11:00,enter,update,ID1253,Web,complete,clickButton,2019-03-05T14:34:56.807+11:00,address,addA1440addB397,Web,complete,insertValue,2019-03-05T14:34:59.135+11:00,Country17,country,Web,complete,insertValue,2019-03-05T14:35:10.745+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:35:14.776+11:00,OK,Web,complete,clickButton,2019-03-05T14:35:16.081+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:35:19.851+11:00,,,,,,,,,,,,,,,
166,Clients,Web,complete,clickButton,2019-03-05T14:35:32.668+11:00,clientID,ID1004,Web,complete,insertValue,2019-03-05T14:35:36.428+11:00,Web,complete,pressKey,2019-03-05T14:35:42.562+11:00,enter,update,ID1004,Web,complete,clickButton,2019-03-05T14:35:47.104+11:00,address,addA382addB16,Web,complete,insertValue,2019-03-05T14:35:50.475+11:00,Country145,country,Web,complete,insertValue,2019-03-05T14:35:51.110+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:36:01.105+11:00,OK,Web,complete,clickButton,2019-03-05T14:36:04.035+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:36:05.465+11:00,,,,,,,,,,,,,,,
167,Clients,Web,complete,clickButton,2019-03-05T14:36:17.164+11:00,clientID,ID1840,Web,complete,insertValue,2019-03-05T14:36:20.029+11:00,Web,complete,pressKey,2019-03-05T14:36:33.809+11:00,enter,update,ID1840,Web,complete,clickButton,2019-03-05T14:36:38.057+11:00,address,addA279addB826,Web,complete,insertValue,2019-03-05T14:36:39.810+11:00,Australia,country,Web,complete,insertValue,2019-03-05T14:36:50.226+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T14:36:55.809+11:00,ID1840,address,addB826,Web,complete,copy,2019-03-05T14:37:17.879+11:00,paste,A,addB826,Excel,5,complete,2019-03-05T14:37:28.715+11:00,save,Excel,complete,saveFile,2019-03-05T14:37:31.862+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T14:37:35.214+11:00
168,Clients,Web,complete,clickButton,2019-03-05T14:37:48.304+11:00,clientID,ID448,Web,complete,insertValue,2019-03-05T14:37:53.541+11:00,Web,complete,pressKey,2019-03-05T14:38:09.060+11:00,enter,update,ID448,Web,complete,clickButton,2019-03-05T14:38:12.882+11:00,address,addA1342addB436,Web,complete,insertValue,2019-03-05T14:38:15.880+11:00,Australia,country,Web,complete,insertValue,2019-03-05T14:38:31.665+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T14:38:43.541+11:00,ID448,address,addB436,Web,complete,copy,2019-03-05T14:38:54.833+11:00,paste,A,addB436,Excel,5,complete,2019-03-05T14:39:09.562+11:00,save,Excel,complete,saveFile,2019-03-05T14:39:12.119+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T14:39:15.836+11:00
169,Clients,Web,complete,clickButton,2019-03-05T14:39:28.663+11:00,clientID,ID1908,Web,complete,insertValue,2019-03-05T14:39:31.625+11:00,Web,complete,pressKey,2019-03-05T14:39:40.637+11:00,enter,update,ID1908,Web,complete,clickButton,2019-03-05T14:39:44.223+11:00,address,addA1256addB374,Web,complete,insertValue,2019-03-05T14:39:47.293+11:00,Australia,country,Web,complete,insertValue,2019-03-05T14:39:49.043+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T14:40:02.501+11:00,ID1908,address,addB374,Web,complete,copy,2019-03-05T14:40:10.471+11:00,paste,A,addB374,Excel,5,complete,2019-03-05T14:40:23.778+11:00,save,Excel,complete,saveFile,2019-03-05T14:40:27.604+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T14:40:29.231+11:00
170,Clients,Web,complete,clickButton,2019-03-05T14:40:44.055+11:00,clientID,ID1957,Web,complete,insertValue,2019-03-05T14:40:48.829+11:00,Web,complete,pressKey,2019-03-05T14:41:00.409+11:00,enter,update,ID1957,Web,complete,clickButton,2019-03-05T14:41:03.730+11:00,address,addA1699addB1191,Web,complete,insertValue,2019-03-05T14:41:07.222+11:00,Australia,country,Web,complete,insertValue,2019-03-05T14:41:10.054+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T14:41:14.136+11:00,ID1957,address,addB1191,Web,complete,copy,2019-03-05T14:41:26.369+11:00,paste,A,addB1191,Excel,5,complete,2019-03-05T14:41:35.219+11:00,save,Excel,complete,saveFile,2019-03-05T14:41:39.092+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T14:41:41.039+11:00
171,Clients,Web,complete,clickButton,2019-03-05T14:41:55.260+11:00,clientID,ID480,Web,complete,insertValue,2019-03-05T14:41:59.137+11:00,Web,complete,pressKey,2019-03-05T14:42:14.568+11:00,enter,update,ID480,Web,complete,clickButton,2019-03-05T14:42:18.988+11:00,address,addA270addB72,Web,complete,insertValue,2019-03-05T14:42:21.630+11:00,Country194,country,Web,complete,insertValue,2019-03-05T14:42:28.966+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:42:28.966+11:00,OK,Web,complete,clickButton,2019-03-05T14:42:30.459+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:42:33.176+11:00,,,,,,,,,,,,,,,
172,Clients,Web,complete,clickButton,2019-03-05T14:42:47.502+11:00,clientID,ID1373,Web,complete,insertValue,2019-03-05T14:42:49.980+11:00,Web,complete,pressKey,2019-03-05T14:42:52.282+11:00,enter,update,ID1373,Web,complete,clickButton,2019-03-05T14:42:56.790+11:00,address,addA38addB583,Web,complete,insertValue,2019-03-05T14:43:01.465+11:00,Country90,country,Web,complete,insertValue,2019-03-05T14:43:11.275+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:43:22.636+11:00,OK,Web,complete,clickButton,2019-03-05T14:43:27.288+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:43:30.618+11:00,,,,,,,,,,,,,,,
173,Clients,Web,complete,clickButton,2019-03-05T14:43:42.925+11:00,clientID,ID1241,Web,complete,insertValue,2019-03-05T14:43:44.615+11:00,Web,complete,pressKey,2019-03-05T14:44:06.693+11:00,enter,update,ID1241,Web,complete,clickButton,2019-03-05T14:44:12.251+11:00,address,addA820addB192,Web,complete,insertValue,2019-03-05T14:44:15.735+11:00,Australia,country,Web,complete,insertValue,2019-03-05T14:44:17.015+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T14:44:28.027+11:00,ID1241,address,addB192,Web,complete,copy,2019-03-05T14:44:38.868+11:00,paste,A,addB192,Excel,5,complete,2019-03-05T14:44:44.280+11:00,save,Excel,complete,saveFile,2019-03-05T14:44:48.611+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T14:44:53.033+11:00
174,Clients,Web,complete,clickButton,2019-03-05T14:45:07.294+11:00,clientID,ID98,Web,complete,insertValue,2019-03-05T14:45:09.886+11:00,Web,complete,pressKey,2019-03-05T14:45:13.432+11:00,enter,update,ID98,Web,complete,clickButton,2019-03-05T14:45:17.013+11:00,address,addA1318addB499,Web,complete,insertValue,2019-03-05T14:45:19.233+11:00,Country81,country,Web,complete,insertValue,2019-03-05T14:45:41.313+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:45:46.945+11:00,OK,Web,complete,clickButton,2019-03-05T14:45:49.224+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:45:50.205+11:00,,,,,,,,,,,,,,,
