Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49
269,value1,value104,Web,complete,insertValue,2019-03-05T15:11:23.804+11:00,code,23,Web,complete,insertValue,2019-03-05T15:11:35.279+11:00,B7,Web,complete,clickButton,2019-03-05T15:11:45.620+11:00,open,Web,complete,clickButton,2019-03-05T15:11:49.076+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:11:51.346+11:00,data123.xls,code,23,Web,complete,copy,2019-03-05T15:11:54.594+11:00,paste,B,name,23,Excel,1571,complete,2019-03-05T15:11:57.458+11:00,add,Web,complete,clickButton,2019-03-05T15:12:00.491+11:00,OK
270,value1,value1894,Web,complete,insertValue,2019-03-05T15:12:14.555+11:00,code,23,Web,complete,insertValue,2019-03-05T15:12:25.183+11:00,B7,Web,complete,clickButton,2019-03-05T15:12:32.842+11:00,Web,complete,goToUrl,2019-03-05T15:12:36.523+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:12:39.718+11:00,code,23,Web,complete,copy,2019-03-05T15:12:42.574+11:00,paste,B,name,23,Excel,1734,complete,2019-03-05T15:12:44.206+11:00,add,Web,complete,clickButton,2019-03-05T15:12:48.770+11:00,OK,Web
271,value1,value580,Web,complete,insertValue,2019-03-05T15:13:01.134+11:00,code,19,Web,complete,insertValue,2019-03-05T15:13:11.872+11:00,B7,Web,complete,clickButton,2019-03-05T15:13:26.851+11:00,Web,complete,goToUrl,2019-03-05T15:13:30.238+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:13:40.528+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:13:44.474+11:00,data123.xls,code,19,Web,complete,copy,2019-03-05T15:13:46.881+11:00,paste,B,name,19,Excel,275,complete,2019-03-05T15:13:49.134+11:00,cancel
272,value1,value1334,Web,complete,insertValue,2019-03-05T15:14:08.367+11:00,code,18,Web,complete,insertValue,2019-03-05T15:14:08.367+11:00,B7,Web,complete,clickButton,2019-03-05T15:14:18.501+11:00,open,Web,complete,clickButton,2019-03-05T15:14:23.960+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:14:27.325+11:00,data123.xls,name163,Excel,complete,findValue,TRUE,2019-03-05T15:14:29.450+11:00,add,Web,complete,clickButton,2019-03-05T15:14:32.412+11:00,OK,Web,complete,clickButton,2019-03-05T15:14:35.046+11:00,,,,
273,value1,value1944,Web,complete,insertValue,2019-03-05T15:14:45.046+11:00,code,22,Web,complete,insertValue,2019-03-05T15:14:53.137+11:00,B7,Web,complete,clickButton,2019-03-05T15:15:01.799+11:00,Web,complete,goToUrl,2019-03-05T15:15:06.709+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:15:10.914+11:00,code,22,Web,complete,copy,2019-03-05T15:15:14.568+11:00,paste,B,name,22,Excel,1042,complete,2019-03-05T15:15:16.678+11:00,Web,complete,goToUrl,2019-03-05T15:15:19.562+11:00,www.webpage.com,OK,Web
274,value1,value1587,Web,complete,insertValue,2019-03-05T15:15:34.404+11:00,code,20,Web,complete,insertValue,2019-03-05T15:15:45.480+11:00,B7,Web,complete,clickButton,2019-03-05T15:15:48.684+11:00,open,Web,complete,clickButton,2019-03-05T15:15:51.226+11:00,code,20,Web,complete,copy,2019-03-05T15:15:53.214+11:00,paste,B,name,20,Excel,1214,complete,2019-03-05T15:15:56.210+11:00,cancel,Web,complete,clickButton,2019-03-05T15:15:57.031+11:00,OK,Web,complete,clickButton,2019-03-05T15:16:00.262+11:00,,
275,value1,value1237,Web,complete,insertValue,2019-03-05T15:16:10.262+11:00,code,25,Web,complete,insertValue,2019-03-05T15:16:22.726+11:00,B7,Web,complete,clickButton,2019-03-05T15:16:28.076+11:00,Web,complete,goToUrl,2019-03-05T15:16:31.694+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:16:44.303+11:00,code,25,Web,complete,copy,2019-03-05T15:16:49.686+11:00,paste,B,name,25,Excel,1543,complete,2019-03-05T15:16:53.078+11:00,add,Web,complete,clickButton,2019-03-05T15:16:57.014+11:00,OK,Web
276,value1,value1391,Web,complete,insertValue,2019-03-05T15:17:09.048+11:00,code,28,Web,complete,insertValue,2019-03-05T15:17:17.758+11:00,B6,Web,complete,clickButton,2019-03-05T15:17:26.493+11:00,Web,complete,goToUrl,2019-03-05T15:17:29.810+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:17:36.444+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:17:39.808+11:00,data123.xls,code,28,Web,complete,copy,2019-03-05T15:17:41.964+11:00,paste,B,name,28,Excel,307,complete,2019-03-05T15:17:45.103+11:00,Web
277,value1,value1280,Web,complete,insertValue,2019-03-05T15:18:00.849+11:00,code,24,Web,complete,insertValue,2019-03-05T15:18:13.338+11:00,B6,Web,complete,clickButton,2019-03-05T15:18:21.177+11:00,Web,complete,goToUrl,2019-03-05T15:18:24.235+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:18:29.567+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:18:33.766+11:00,data123.xls,name318,Excel,complete,findValue,TRUE,2019-03-05T15:18:36.450+11:00,Web,complete,goToUrl,2019-03-05T15:18:42.042+11:00,www.webpage.com,OK,Web,complete,clickButton
278,value1,value1697,Web,complete,insertValue,2019-03-05T15:18:59.390+11:00,code,30,Web,complete,insertValue,2019-03-05T15:19:09.631+11:00,B7,Web,complete,clickButton,2019-03-05T15:19:21.327+11:00,open,Web,complete,clickButton,2019-03-05T15:19:25.466+11:00,code,30,Web,complete,copy,2019-03-05T15:19:28.611+11:00,paste,B,name,30,Excel,1742,complete,2019-03-05T15:19:33.689+11:00,cancel,Web,complete,clickButton,2019-03-05T15:19:38.240+11:00,OK,Web,complete,clickButton,2019-03-05T15:19:39.703+11:00,,
279,value1,value1860,Web,complete,insertValue,2019-03-05T15:19:49.703+11:00,code,28,Web,complete,insertValue,2019-03-05T15:19:55.175+11:00,B6,Web,complete,clickButton,2019-03-05T15:20:07.931+11:00,Web,complete,goToUrl,2019-03-05T15:20:11.898+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:20:21.487+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:20:26.055+11:00,data123.xls,code,28,Web,complete,copy,2019-03-05T15:20:28.590+11:00,paste,B,name,28,Excel,1156,complete,2019-03-05T15:20:31.065+11:00,cancel
280,value1,value1459,Web,complete,insertValue,2019-03-05T15:20:46.748+11:00,code,23,Web,complete,insertValue,2019-03-05T15:20:57.374+11:00,B7,Web,complete,clickButton,2019-03-05T15:21:03.190+11:00,Web,complete,goToUrl,2019-03-05T15:21:05.670+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:21:11.323+11:00,code,23,Web,complete,copy,2019-03-05T15:21:15.996+11:00,paste,B,name,23,Excel,1893,complete,2019-03-05T15:21:18.647+11:00,add,Web,complete,clickButton,2019-03-05T15:21:21.983+11:00,OK,Web
281,value1,value629,Web,complete,insertValue,2019-03-05T15:21:35.540+11:00,code,27,Web,complete,insertValue,2019-03-05T15:21:42.527+11:00,B7,Web,complete,clickButton,2019-03-05T15:21:58.067+11:00,Web,complete,goToUrl,2019-03-05T15:22:00.314+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:22:06.720+11:00,code,27,Web,complete,copy,2019-03-05T15:22:09.309+11:00,paste,B,name,27,Excel,270,complete,2019-03-05T15:22:12.262+11:00,cancel,Web,complete,clickButton,2019-03-05T15:22:13.798+11:00,OK,Web
282,value1,value199,Web,complete,insertValue,2019-03-05T15:22:25.433+11:00,code,34,Web,complete,insertValue,2019-03-05T15:22:31.105+11:00,B6,Web,complete,clickButton,2019-03-05T15:22:47.753+11:00,Web,complete,goToUrl,2019-03-05T15:22:50.314+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:23:05.489+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:23:09.209+11:00,data123.xls,code,34,Web,complete,copy,2019-03-05T15:23:11.542+11:00,paste,B,name,34,Excel,1679,complete,2019-03-05T15:23:15.001+11:00,cancel
283,value1,value1853,Web,complete,insertValue,2019-03-05T15:23:30.109+11:00,code,29,Web,complete,insertValue,2019-03-05T15:23:35.997+11:00,B7,Web,complete,clickButton,2019-03-05T15:23:39.339+11:00,open,Web,complete,clickButton,2019-03-05T15:23:42.271+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:23:45.906+11:00,data123.xls,name1360,Excel,complete,findValue,TRUE,2019-03-05T15:23:47.724+11:00,Web,complete,goToUrl,2019-03-05T15:23:51.970+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T15:24:08.532+11:00,,,,
284,value1,value202,Web,complete,insertValue,2019-03-05T15:24:18.532+11:00,code,47,Web,complete,insertValue,2019-03-05T15:24:27.106+11:00,B7,Web,complete,clickButton,2019-03-05T15:24:42.932+11:00,Web,complete,goToUrl,2019-03-05T15:24:47.650+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:24:57.658+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:25:00.991+11:00,data123.xls,name651,Excel,complete,findValue,FALSE,2019-03-05T15:25:04.283+11:00,add,Web,complete,clickButton,2019-03-05T15:25:07.441+11:00,OK,Web,complete,clickButton
285,value1,value549,Web,complete,insertValue,2019-03-05T15:25:19.820+11:00,code,20,Web,complete,insertValue,2019-03-05T15:25:26.288+11:00,B7,Web,complete,clickButton,2019-03-05T15:25:30.576+11:00,Web,complete,goToUrl,2019-03-05T15:25:35.259+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:25:47.280+11:00,code,20,Web,complete,copy,2019-03-05T15:25:51.971+11:00,paste,B,name,20,Excel,507,complete,2019-03-05T15:25:54.318+11:00,add,Web,complete,clickButton,2019-03-05T15:25:58.498+11:00,OK,Web
286,value1,value1639,Web,complete,insertValue,2019-03-05T15:26:11.866+11:00,code,26,Web,complete,insertValue,2019-03-05T15:26:21.020+11:00,B7,Web,complete,clickButton,2019-03-05T15:26:32.623+11:00,Web,complete,goToUrl,2019-03-05T15:26:36.156+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:26:46.136+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:26:49.489+11:00,data123.xls,code,26,Web,complete,copy,2019-03-05T15:26:51.733+11:00,paste,B,name,26,Excel,1310,complete,2019-03-05T15:26:53.365+11:00,cancel
287,value1,value995,Web,complete,insertValue,2019-03-05T15:27:08.466+11:00,code,28,Web,complete,insertValue,2019-03-05T15:27:31.482+11:00,B7,Web,complete,clickButton,2019-03-05T15:27:34.024+11:00,open,Web,complete,clickButton,2019-03-05T15:27:37.916+11:00,code,28,Web,complete,copy,2019-03-05T15:27:41.183+11:00,paste,B,name,28,Excel,1747,complete,2019-03-05T15:27:43.192+11:00,cancel,Web,complete,clickButton,2019-03-05T15:27:46.597+11:00,OK,Web,complete,clickButton,2019-03-05T15:27:50.860+11:00,,
288,value1,value433,Web,complete,insertValue,2019-03-05T15:28:00.860+11:00,code,23,Web,complete,insertValue,2019-03-05T15:28:09.689+11:00,B7,Web,complete,clickButton,2019-03-05T15:28:13.788+11:00,Web,complete,goToUrl,2019-03-05T15:28:16.028+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:28:29.515+11:00,code,23,Web,complete,copy,2019-03-05T15:28:33.814+11:00,paste,B,name,23,Excel,48,complete,2019-03-05T15:28:37.995+11:00,cancel,Web,complete,clickButton,2019-03-05T15:28:41.541+11:00,OK,Web
289,value1,value1860,Web,complete,insertValue,2019-03-05T15:28:54.744+11:00,code,36,Web,complete,insertValue,2019-03-05T15:29:01.437+11:00,B7,Web,complete,clickButton,2019-03-05T15:29:09.363+11:00,open,Web,complete,clickButton,2019-03-05T15:29:11.789+11:00,code,36,Web,complete,copy,2019-03-05T15:29:15.011+11:00,paste,B,name,36,Excel,129,complete,2019-03-05T15:29:15.950+11:00,cancel,Web,complete,clickButton,2019-03-05T15:29:18.164+11:00,OK,Web,complete,clickButton,2019-03-05T15:29:20.205+11:00,,
290,value1,value395,Web,complete,insertValue,2019-03-05T15:29:30.205+11:00,code,19,Web,complete,insertValue,2019-03-05T15:29:38.739+11:00,B6,Web,complete,clickButton,2019-03-05T15:29:47.222+11:00,Web,complete,goToUrl,2019-03-05T15:29:50.457+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:29:50.889+11:00,code,19,Web,complete,copy,2019-03-05T15:29:53.333+11:00,paste,B,name,19,Excel,895,complete,2019-03-05T15:29:56.005+11:00,Web,complete,goToUrl,2019-03-05T15:29:59.313+11:00,www.webpage.com,OK,Web
291,value1,value328,Web,complete,insertValue,2019-03-05T15:30:15.361+11:00,code,28,Web,complete,insertValue,2019-03-05T15:30:23.955+11:00,B6,Web,complete,clickButton,2019-03-05T15:30:30.200+11:00,Web,complete,goToUrl,2019-03-05T15:30:32.443+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:30:39.760+11:00,code,28,Web,complete,copy,2019-03-05T15:30:43.136+11:00,paste,B,name,28,Excel,507,complete,2019-03-05T15:30:48.792+11:00,Web,complete,goToUrl,2019-03-05T15:30:53.588+11:00,www.webpage.com,OK,Web
292,value1,value923,Web,complete,insertValue,2019-03-05T15:31:11.970+11:00,code,18,Web,complete,insertValue,2019-03-05T15:31:17.288+11:00,B7,Web,complete,clickButton,2019-03-05T15:31:29.436+11:00,open,Web,complete,clickButton,2019-03-05T15:31:32.791+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:31:35.099+11:00,data123.xls,name1968,Excel,complete,findValue,FALSE,2019-03-05T15:31:38.953+11:00,Web,complete,goToUrl,2019-03-05T15:31:40.767+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T15:31:50.081+11:00,,,,
293,value1,value1222,Web,complete,insertValue,2019-03-05T15:32:00.081+11:00,code,25,Web,complete,insertValue,2019-03-05T15:32:14.100+11:00,B7,Web,complete,clickButton,2019-03-05T15:32:24.483+11:00,Web,complete,goToUrl,2019-03-05T15:32:26.519+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:32:36.498+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:32:38.768+11:00,data123.xls,code,25,Web,complete,copy,2019-03-05T15:32:42.605+11:00,paste,B,name,25,Excel,1375,complete,2019-03-05T15:32:46.421+11:00,cancel
294,value1,value566,Web,complete,insertValue,2019-03-05T15:33:04.252+11:00,code,21,Web,complete,insertValue,2019-03-05T15:33:12.936+11:00,B6,Web,complete,clickButton,2019-03-05T15:33:22.862+11:00,Web,complete,goToUrl,2019-03-05T15:33:26.337+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:33:41.162+11:00,code,21,Web,complete,copy,2019-03-05T15:33:43.734+11:00,paste,B,name,21,Excel,1040,complete,2019-03-05T15:33:45.953+11:00,add,Web,complete,clickButton,2019-03-05T15:33:52.478+11:00,OK,Web
295,value1,value1151,Web,complete,insertValue,2019-03-05T15:34:06.145+11:00,code,28,Web,complete,insertValue,2019-03-05T15:34:09.596+11:00,B7,Web,complete,clickButton,2019-03-05T15:34:18.902+11:00,open,Web,complete,clickButton,2019-03-05T15:34:21.049+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:34:22.893+11:00,data123.xls,name1357,Excel,complete,findValue,TRUE,2019-03-05T15:34:25.252+11:00,add,Web,complete,clickButton,2019-03-05T15:34:28.594+11:00,OK,Web,complete,clickButton,2019-03-05T15:34:30.196+11:00,,,,
296,value1,value1558,Web,complete,insertValue,2019-03-05T15:34:40.196+11:00,code,23,Web,complete,insertValue,2019-03-05T15:34:45.793+11:00,B6,Web,complete,clickButton,2019-03-05T15:34:51.121+11:00,open,Web,complete,clickButton,2019-03-05T15:34:54.457+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:34:58.082+11:00,data123.xls,code,23,Web,complete,copy,2019-03-05T15:35:01.325+11:00,paste,B,name,23,Excel,416,complete,2019-03-05T15:35:04.630+11:00,cancel,Web,complete,clickButton,2019-03-05T15:35:08.255+11:00,OK
297,value1,value1065,Web,complete,insertValue,2019-03-05T15:35:19.865+11:00,code,21,Web,complete,insertValue,2019-03-05T15:35:19.865+11:00,B7,Web,complete,clickButton,2019-03-05T15:35:33.688+11:00,open,Web,complete,clickButton,2019-03-05T15:35:37.155+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:35:39.422+11:00,data123.xls,name556,Excel,complete,findValue,FALSE,2019-03-05T15:35:43.747+11:00,Web,complete,goToUrl,2019-03-05T15:35:46.947+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T15:35:59.991+11:00,,,,
298,value1,value489,Web,complete,insertValue,2019-03-05T15:36:09.991+11:00,code,26,Web,complete,insertValue,2019-03-05T15:36:21.278+11:00,B7,Web,complete,clickButton,2019-03-05T15:36:27.423+11:00,open,Web,complete,clickButton,2019-03-05T15:36:29.826+11:00,code,26,Web,complete,copy,2019-03-05T15:36:33.361+11:00,paste,B,name,26,Excel,1141,complete,2019-03-05T15:36:37.315+11:00,cancel,Web,complete,clickButton,2019-03-05T15:36:40.843+11:00,OK,Web,complete,clickButton,2019-03-05T15:36:44.042+11:00,,
299,value1,value1436,Web,complete,insertValue,2019-03-05T15:36:54.042+11:00,code,19,Web,complete,insertValue,2019-03-05T15:37:00.940+11:00,B7,Web,complete,clickButton,2019-03-05T15:37:09.879+11:00,Web,complete,goToUrl,2019-03-05T15:37:14.271+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:37:16.289+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:37:17.168+11:00,data123.xls,code,19,Web,complete,copy,2019-03-05T15:37:19.658+11:00,paste,B,name,19,Excel,1802,complete,2019-03-05T15:37:23.155+11:00,Web
300,value1,value1781,Web,complete,insertValue,2019-03-05T15:37:44.508+11:00,code,28,Web,complete,insertValue,2019-03-05T15:37:50.454+11:00,B6,Web,complete,clickButton,2019-03-05T15:38:01.514+11:00,open,Web,complete,clickButton,2019-03-05T15:38:03.153+11:00,code,28,Web,complete,copy,2019-03-05T15:38:08.966+11:00,paste,B,name,28,Excel,1478,complete,2019-03-05T15:38:12.656+11:00,add,Web,complete,clickButton,2019-03-05T15:38:16.067+11:00,OK,Web,complete,clickButton,2019-03-05T15:38:18.550+11:00,,
301,value1,value848,Web,complete,insertValue,2019-03-05T15:38:28.550+11:00,code,29,Web,complete,insertValue,2019-03-05T15:38:38.998+11:00,B6,Web,complete,clickButton,2019-03-05T15:38:38.998+11:00,Web,complete,goToUrl,2019-03-05T15:38:40.903+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:38:51.726+11:00,code,29,Web,complete,copy,2019-03-05T15:38:55.884+11:00,paste,B,name,29,Excel,574,complete,2019-03-05T15:38:57.583+11:00,Web,complete,goToUrl,2019-03-05T15:39:01.067+11:00,www.webpage.com,OK,Web
302,value1,value1467,Web,complete,insertValue,2019-03-05T15:39:16.921+11:00,code,22,Web,complete,insertValue,2019-03-05T15:39:23.278+11:00,B7,Web,complete,clickButton,2019-03-05T15:39:32.178+11:00,open,Web,complete,clickButton,2019-03-05T15:39:35.871+11:00,code,22,Web,complete,copy,2019-03-05T15:39:38.017+11:00,paste,B,name,22,Excel,751,complete,2019-03-05T15:39:41.988+11:00,Web,complete,goToUrl,2019-03-05T15:39:44.982+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T15:39:50.030+11:00,,
303,value1,value1789,Web,complete,insertValue,2019-03-05T15:40:00.030+11:00,code,27,Web,complete,insertValue,2019-03-05T15:40:15.308+11:00,B6,Web,complete,clickButton,2019-03-05T15:40:27.011+11:00,open,Web,complete,clickButton,2019-03-05T15:40:28.299+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:40:30.859+11:00,data123.xls,code,27,Web,complete,copy,2019-03-05T15:40:33.204+11:00,paste,B,name,27,Excel,1000,complete,2019-03-05T15:40:36.329+11:00,cancel,Web,complete,clickButton,2019-03-05T15:40:39.385+11:00,OK
304,value1,value2,Web,complete,insertValue,2019-03-05T15:40:49.385+11:00,code,22,Web,complete,insertValue,2019-03-05T15:40:49.385+11:00,B7,Web,complete,clickButton,2019-03-05T15:41:05.064+11:00,open,Web,complete,clickButton,2019-03-05T15:41:09.402+11:00,code,22,Web,complete,copy,2019-03-05T15:41:10.930+11:00,paste,B,name,22,Excel,1701,complete,2019-03-05T15:41:12.133+11:00,Web,complete,goToUrl,2019-03-05T15:41:14.617+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T15:41:18.792+11:00,,
305,value1,value1271,Web,complete,insertValue,2019-03-05T15:41:28.792+11:00,code,27,Web,complete,insertValue,2019-03-05T15:41:37.692+11:00,B6,Web,complete,clickButton,2019-03-05T15:41:45.731+11:00,Web,complete,goToUrl,2019-03-05T15:41:47.871+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:41:55.435+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:41:56.235+11:00,data123.xls,code,27,Web,complete,copy,2019-03-05T15:42:00.881+11:00,paste,B,name,27,Excel,521,complete,2019-03-05T15:42:04.308+11:00,cancel
306,value1,value1258,Web,complete,insertValue,2019-03-05T15:42:19.208+11:00,code,19,Web,complete,insertValue,2019-03-05T15:42:23.147+11:00,B6,Web,complete,clickButton,2019-03-05T15:42:33.508+11:00,Web,complete,goToUrl,2019-03-05T15:42:36.642+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:42:39.496+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:42:44.478+11:00,data123.xls,code,19,Web,complete,copy,2019-03-05T15:42:46.037+11:00,paste,B,name,19,Excel,1042,complete,2019-03-05T15:42:48.753+11:00,Web
307,value1,value256,Web,complete,insertValue,2019-03-05T15:43:11.139+11:00,code,32,Web,complete,insertValue,2019-03-05T15:43:12.273+11:00,B6,Web,complete,clickButton,2019-03-05T15:43:22.920+11:00,open,Web,complete,clickButton,2019-03-05T15:43:24.908+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:43:28.594+11:00,data123.xls,code,32,Web,complete,copy,2019-03-05T15:43:30.891+11:00,paste,B,name,32,Excel,1215,complete,2019-03-05T15:43:34.355+11:00,cancel,Web,complete,clickButton,2019-03-05T15:43:36.922+11:00,OK
308,value1,value362,Web,complete,insertValue,2019-03-05T15:43:49.615+11:00,code,39,Web,complete,insertValue,2019-03-05T15:44:01.068+11:00,B6,Web,complete,clickButton,2019-03-05T15:44:09.814+11:00,Web,complete,goToUrl,2019-03-05T15:44:14.207+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:44:30.350+11:00,code,39,Web,complete,copy,2019-03-05T15:44:32.932+11:00,paste,B,name,39,Excel,1240,complete,2019-03-05T15:44:35.728+11:00,cancel,Web,complete,clickButton,2019-03-05T15:44:38.468+11:00,OK,Web
