Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65,Parameter66
273,name,name1327,Web,complete,insertValue,2019-03-07T19:11:24.421+11:00,surname,surname1327,Web,complete,insertValue,2019-03-07T19:11:36.869+11:00,age,age24,Web,complete,insertValue,2019-03-07T19:11:36.869+11:00,T2,type,Web,complete,insertValue,2019-03-07T19:11:42.776+11:00,confirm,Web,complete,clickButton,2019-03-07T19:12:02.010+11:00,B3,Web,complete,clickButton,2019-03-07T19:12:05.961+11:00,Button6,Web,complete,clickButton,2019-03-07T19:12:08.435+11:00,Excel,complete,openFile,Sheet1,2019-03-07T19:12:11.181+11:00,data.xls,copy,A,value757,Excel,37,complete,2019-03-07T19:12:29.781+11:00,Special code,value757,Web,complete,paste,2019-03-07T19:12:34.605+11:00,OK,Web,complete,clickButton,2019-03-07T19:12:37.423+11:00,,
274,name,name3477,Web,complete,insertValue,2019-03-07T19:12:47.423+11:00,surname,surname3477,Web,complete,insertValue,2019-03-07T19:13:00.052+11:00,age,age29,Web,complete,insertValue,2019-03-07T19:13:12.768+11:00,T3,type,Web,complete,insertValue,2019-03-07T19:13:28.223+11:00,confirm,Web,complete,clickButton,2019-03-07T19:13:32.969+11:00,B4,Web,complete,clickButton,2019-03-07T19:13:36.009+11:00,Clients,Web,complete,clickButton,2019-03-07T19:13:38.892+11:00,clientID,ID3477,Web,complete,insertValue,2019-03-07T19:13:41.228+11:00,Web,complete,pressKey,2019-03-07T19:13:47.998+11:00,enter,update,ID3477,Web,complete,clickButton,2019-03-07T19:13:51.831+11:00,address,addA3045addB536,Web,complete,insertValue,2019-03-07T19:13:53.790+11:00,Country143,country,Web
275,name,name3535,Web,complete,insertValue,2019-03-07T19:14:30.113+11:00,surname,surname3535,Web,complete,insertValue,2019-03-07T19:14:38.403+11:00,age,age19,Web,complete,insertValue,2019-03-07T19:14:46.023+11:00,T4,type,Web,complete,insertValue,2019-03-07T19:14:50.815+11:00,confirm,Web,complete,clickButton,2019-03-07T19:15:01.582+11:00,B5,Web,complete,clickButton,2019-03-07T19:15:04.764+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-07T19:15:07.481+11:00,Button6,Web,complete,clickButton,2019-03-07T19:15:31.229+11:00,Excel,complete,openFile,Sheet1,2019-03-07T19:15:34.969+11:00,data.xls,copy,B,value595,Excel,36,complete,2019-03-07T19:15:42.623+11:00,Special code,value595,Web,complete,paste,2019-03-07T19:15:47.540+11:00,Country
276,name,name1603,Web,complete,insertValue,2019-03-07T19:16:21.491+11:00,surname,surname1603,Web,complete,insertValue,2019-03-07T19:16:28.386+11:00,age,age27,Web,complete,insertValue,2019-03-07T19:16:37.121+11:00,T4,type,Web,complete,insertValue,2019-03-07T19:16:49.209+11:00,confirm,Web,complete,clickButton,2019-03-07T19:16:55.913+11:00,B5,Web,complete,clickButton,2019-03-07T19:17:00.062+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-07T19:17:03.258+11:00,Button6,Web,complete,clickButton,2019-03-07T19:17:23.333+11:00,Excel,complete,openFile,Sheet1,2019-03-07T19:17:26.947+11:00,data.xls,copy,B,value683,Excel,91,complete,2019-03-07T19:17:43.968+11:00,Special code,value683,Web,complete,paste,2019-03-07T19:17:48.188+11:00,Country
277,name,name2795,Web,complete,insertValue,2019-03-07T19:18:14.962+11:00,surname,surname2795,Web,complete,insertValue,2019-03-07T19:18:23.599+11:00,age,age19,Web,complete,insertValue,2019-03-07T19:18:38.477+11:00,T3,type,Web,complete,insertValue,2019-03-07T19:18:43.322+11:00,confirm,Web,complete,clickButton,2019-03-07T19:18:50.218+11:00,B4,Web,complete,clickButton,2019-03-07T19:18:55.136+11:00,Clients,Web,complete,clickButton,2019-03-07T19:18:58.745+11:00,clientID,ID2795,Web,complete,insertValue,2019-03-07T19:19:01.033+11:00,Web,complete,pressKey,2019-03-07T19:19:05.281+11:00,enter,update,ID2795,Web,complete,clickButton,2019-03-07T19:19:08.707+11:00,address,addA2698addB1099,Web,complete,insertValue,2019-03-07T19:19:12.002+11:00,Country152,country,Web
278,name,name1357,Web,complete,insertValue,2019-03-07T19:19:43.516+11:00,surname,surname1357,Web,complete,insertValue,2019-03-07T19:19:50.390+11:00,age,age18,Web,complete,insertValue,2019-03-07T19:19:59.947+11:00,T4,type,Web,complete,insertValue,2019-03-07T19:20:12.019+11:00,confirm,Web,complete,clickButton,2019-03-07T19:20:22.988+11:00,B5,Web,complete,clickButton,2019-03-07T19:20:27.298+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-07T19:20:30.161+11:00,Button6,Web,complete,clickButton,2019-03-07T19:20:42.306+11:00,Excel,complete,openFile,Sheet1,2019-03-07T19:20:44.575+11:00,data.xls,copy,B,value784,Excel,94,complete,2019-03-07T19:20:53.457+11:00,Special code,value784,Web,complete,paste,2019-03-07T19:20:57.235+11:00,Country
279,name,name885,Web,complete,insertValue,2019-03-07T19:21:26.495+11:00,surname,surname885,Web,complete,insertValue,2019-03-07T19:21:37.255+11:00,age,age25,Web,complete,insertValue,2019-03-07T19:21:41.427+11:00,T1,type,Web,complete,insertValue,2019-03-07T19:21:48.591+11:00,confirm,Web,complete,clickButton,2019-03-07T19:21:59.204+11:00,B1,Web,complete,clickButton,2019-03-07T19:22:00.624+11:00,name,name885,Web,complete,copy,2019-03-07T19:22:02.688+11:00,paste,B,name,name885,Excel,1,complete,2019-03-07T19:22:05.362+11:00,surname,surname885,Web,complete,copy,2019-03-07T19:22:08.335+11:00,paste,B,surname,surname885,Excel,1,complete,2019-03-07T19:22:12.324+11:00,add,Web,complete
280,name,name3346,Web,complete,insertValue,2019-03-07T19:22:28.736+11:00,surname,surname3346,Web,complete,insertValue,2019-03-07T19:22:39.190+11:00,age,age29,Web,complete,insertValue,2019-03-07T19:22:49.534+11:00,T3,type,Web,complete,insertValue,2019-03-07T19:22:49.629+11:00,confirm,Web,complete,clickButton,2019-03-07T19:23:02.681+11:00,B4,Web,complete,clickButton,2019-03-07T19:23:05.319+11:00,Clients,Web,complete,clickButton,2019-03-07T19:23:09.445+11:00,clientID,ID3346,Web,complete,insertValue,2019-03-07T19:23:13.374+11:00,Web,complete,pressKey,2019-03-07T19:23:27.232+11:00,enter,update,ID3346,Web,complete,clickButton,2019-03-07T19:23:30.321+11:00,address,addA3101addB1311,Web,complete,insertValue,2019-03-07T19:23:33.853+11:00,Country10,country,Web
281,name,name462,Web,complete,insertValue,2019-03-07T19:24:08.667+11:00,surname,surname462,Web,complete,insertValue,2019-03-07T19:24:11.040+11:00,age,age28,Web,complete,insertValue,2019-03-07T19:24:24.170+11:00,T2,type,Web,complete,insertValue,2019-03-07T19:24:30.910+11:00,confirm,Web,complete,clickButton,2019-03-07T19:24:32.513+11:00,B3,Web,complete,clickButton,2019-03-07T19:24:37.251+11:00,Button6,Web,complete,clickButton,2019-03-07T19:24:40.655+11:00,Excel,complete,openFile,Sheet1,2019-03-07T19:24:43.643+11:00,data.xls,copy,A,value860,Excel,38,complete,2019-03-07T19:24:44.135+11:00,Special code,value860,Web,complete,paste,2019-03-07T19:24:48.120+11:00,OK,Web,complete,clickButton,2019-03-07T19:24:51.461+11:00,,
282,name,name1371,Web,complete,insertValue,2019-03-07T19:25:01.461+11:00,surname,surname1371,Web,complete,insertValue,2019-03-07T19:25:12.064+11:00,age,age21,Web,complete,insertValue,2019-03-07T19:25:28.786+11:00,T2,type,Web,complete,insertValue,2019-03-07T19:25:34.216+11:00,confirm,Web,complete,clickButton,2019-03-07T19:25:35.978+11:00,B3,Web,complete,clickButton,2019-03-07T19:25:40.303+11:00,Button6,Web,complete,clickButton,2019-03-07T19:25:43.784+11:00,Excel,complete,openFile,Sheet1,2019-03-07T19:25:45.078+11:00,data.xls,copy,A,value858,Excel,64,complete,2019-03-07T19:25:54.320+11:00,Special code,value858,Web,complete,paste,2019-03-07T19:25:56.172+11:00,OK,Web,complete,clickButton,2019-03-07T19:25:59.830+11:00,,
283,name,name1940,Web,complete,insertValue,2019-03-07T19:26:09.830+11:00,surname,surname1940,Web,complete,insertValue,2019-03-07T19:26:23.596+11:00,age,age24,Web,complete,insertValue,2019-03-07T19:26:28.657+11:00,T4,type,Web,complete,insertValue,2019-03-07T19:26:38.071+11:00,confirm,Web,complete,clickButton,2019-03-07T19:26:52.580+11:00,B5,Web,complete,clickButton,2019-03-07T19:26:53.721+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-07T19:26:58.832+11:00,Button6,Web,complete,clickButton,2019-03-07T19:26:58.832+11:00,Excel,complete,openFile,Sheet1,2019-03-07T19:27:02.049+11:00,data.xls,copy,B,value963,Excel,19,complete,2019-03-07T19:27:09.487+11:00,Special code,value963,Web,complete,paste,2019-03-07T19:27:12.216+11:00,Country
284,name,name2908,Web,complete,insertValue,2019-03-07T19:27:31.742+11:00,surname,surname2908,Web,complete,insertValue,2019-03-07T19:27:37.824+11:00,age,age21,Web,complete,insertValue,2019-03-07T19:27:37.824+11:00,T4,type,Web,complete,insertValue,2019-03-07T19:27:37.824+11:00,confirm,Web,complete,clickButton,2019-03-07T19:27:42.824+11:00,B5,Web,complete,clickButton,2019-03-07T19:27:44.474+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-07T19:27:47.922+11:00,Button6,Web,complete,clickButton,2019-03-07T19:27:48.156+11:00,Excel,complete,openFile,Sheet1,2019-03-07T19:27:50.018+11:00,data.xls,copy,B,value305,Excel,4,complete,2019-03-07T19:28:05.057+11:00,Special code,value305,Web,complete,paste,2019-03-07T19:28:09.240+11:00,Country
285,name,name1508,Web,complete,insertValue,2019-03-07T19:28:38.837+11:00,surname,surname1508,Web,complete,insertValue,2019-03-07T19:28:44.310+11:00,age,age28,Web,complete,insertValue,2019-03-07T19:28:48.853+11:00,T2,type,Web,complete,insertValue,2019-03-07T19:28:48.853+11:00,confirm,Web,complete,clickButton,2019-03-07T19:28:58.463+11:00,B3,Web,complete,clickButton,2019-03-07T19:29:01.589+11:00,Button6,Web,complete,clickButton,2019-03-07T19:29:03.433+11:00,Excel,complete,openFile,Sheet1,2019-03-07T19:29:06.027+11:00,data.xls,copy,A,value13,Excel,97,complete,2019-03-07T19:29:18.517+11:00,Special code,value13,Web,complete,paste,2019-03-07T19:29:22.124+11:00,OK,Web,complete,clickButton,2019-03-07T19:29:26.955+11:00,,
286,name,name2999,Web,complete,insertValue,2019-03-07T19:29:36.955+11:00,surname,surname2999,Web,complete,insertValue,2019-03-07T19:29:46.103+11:00,age,age31,Web,complete,insertValue,2019-03-07T19:29:50.653+11:00,T2,type,Web,complete,insertValue,2019-03-07T19:29:54.234+11:00,confirm,Web,complete,clickButton,2019-03-07T19:30:00.471+11:00,B2,Web,complete,clickButton,2019-03-07T19:30:03.260+11:00,value1,value3688,Web,complete,insertValue,2019-03-07T19:30:06.096+11:00,code,20,Web,complete,insertValue,2019-03-07T19:30:15.141+11:00,B7,Web,complete,clickButton,2019-03-07T19:30:20.484+11:00,open,Web,complete,clickButton,2019-03-07T19:30:23.120+11:00,code,20,Web,complete,copy,2019-03-07T19:30:26.536+11:00,paste,B,name
287,name,name2505,Web,complete,insertValue,2019-03-07T19:30:50.647+11:00,surname,surname2505,Web,complete,insertValue,2019-03-07T19:30:56.811+11:00,age,age28,Web,complete,insertValue,2019-03-07T19:30:58.833+11:00,T4,type,Web,complete,insertValue,2019-03-07T19:31:07.437+11:00,confirm,Web,complete,clickButton,2019-03-07T19:31:13.523+11:00,B5,Web,complete,clickButton,2019-03-07T19:31:15.526+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-07T19:31:19.576+11:00,Button6,Web,complete,clickButton,2019-03-07T19:31:29.395+11:00,Excel,complete,openFile,Sheet1,2019-03-07T19:31:31.662+11:00,data.xls,copy,B,value526,Excel,30,complete,2019-03-07T19:31:32.438+11:00,Special code,value526,Web,complete,paste,2019-03-07T19:31:33.905+11:00,Country
288,name,name37,Web,complete,insertValue,2019-03-07T19:32:05.630+11:00,surname,surname37,Web,complete,insertValue,2019-03-07T19:32:17.902+11:00,age,age38,Web,complete,insertValue,2019-03-07T19:32:34.642+11:00,T1,type,Web,complete,insertValue,2019-03-07T19:32:39.024+11:00,confirm,Web,complete,clickButton,2019-03-07T19:32:51.725+11:00,B1,Web,complete,clickButton,2019-03-07T19:32:55.243+11:00,name,name37,Web,complete,copy,2019-03-07T19:32:57.761+11:00,paste,B,name,name37,Excel,1,complete,2019-03-07T19:33:01.595+11:00,surname,surname37,Web,complete,copy,2019-03-07T19:33:04.834+11:00,paste,B,surname,surname37,Excel,1,complete,2019-03-07T19:33:08.257+11:00,add,Web,complete
289,name,name2269,Web,complete,insertValue,2019-03-07T19:33:23.472+11:00,surname,surname2269,Web,complete,insertValue,2019-03-07T19:33:31.155+11:00,age,age39,Web,complete,insertValue,2019-03-07T19:33:43.524+11:00,T4,type,Web,complete,insertValue,2019-03-07T19:33:44.226+11:00,confirm,Web,complete,clickButton,2019-03-07T19:33:54.092+11:00,B5,Web,complete,clickButton,2019-03-07T19:33:58.409+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-07T19:33:59.395+11:00,Button6,Web,complete,clickButton,2019-03-07T19:34:06.228+11:00,Excel,complete,openFile,Sheet1,2019-03-07T19:34:09.123+11:00,data.xls,copy,B,value701,Excel,97,complete,2019-03-07T19:34:09.123+11:00,Special code,value701,Web,complete,paste,2019-03-07T19:34:13.008+11:00,Country
290,name,name3588,Web,complete,insertValue,2019-03-07T19:34:41.521+11:00,surname,surname3588,Web,complete,insertValue,2019-03-07T19:34:52.028+11:00,age,age37,Web,complete,insertValue,2019-03-07T19:34:53.732+11:00,T2,type,Web,complete,insertValue,2019-03-07T19:35:03.709+11:00,confirm,Web,complete,clickButton,2019-03-07T19:35:08.191+11:00,B2,Web,complete,clickButton,2019-03-07T19:35:10.282+11:00,value1,value2791,Web,complete,insertValue,2019-03-07T19:35:12.590+11:00,code,27,Web,complete,insertValue,2019-03-07T19:35:27.561+11:00,B6,Web,complete,clickButton,2019-03-07T19:35:39.882+11:00,Web,complete,goToUrl,2019-03-07T19:35:45.332+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-07T19:35:47.281+11:00,Excel,complete,openFile,Sheet1
291,name,name3072,Web,complete,insertValue,2019-03-07T19:36:20.009+11:00,surname,surname3072,Web,complete,insertValue,2019-03-07T19:36:23.982+11:00,age,age35,Web,complete,insertValue,2019-03-07T19:36:29.231+11:00,T3,type,Web,complete,insertValue,2019-03-07T19:36:37.432+11:00,confirm,Web,complete,clickButton,2019-03-07T19:36:47.740+11:00,B4,Web,complete,clickButton,2019-03-07T19:36:49.832+11:00,Clients,Web,complete,clickButton,2019-03-07T19:36:53.199+11:00,clientID,ID3072,Web,complete,insertValue,2019-03-07T19:36:56.170+11:00,Web,complete,pressKey,2019-03-07T19:36:57.392+11:00,enter,update,ID3072,Web,complete,clickButton,2019-03-07T19:37:01.386+11:00,address,addA2117addB2632,Web,complete,insertValue,2019-03-07T19:37:03.396+11:00,Country189,country,Web
292,name,name2162,Web,complete,insertValue,2019-03-07T19:37:39.332+11:00,surname,surname2162,Web,complete,insertValue,2019-03-07T19:37:49.512+11:00,age,age24,Web,complete,insertValue,2019-03-07T19:37:52.995+11:00,T2,type,Web,complete,insertValue,2019-03-07T19:38:01.206+11:00,confirm,Web,complete,clickButton,2019-03-07T19:38:07.255+11:00,B3,Web,complete,clickButton,2019-03-07T19:38:11.322+11:00,Button6,Web,complete,clickButton,2019-03-07T19:38:15.875+11:00,Excel,complete,openFile,Sheet1,2019-03-07T19:38:20.293+11:00,data.xls,copy,A,value19,Excel,89,complete,2019-03-07T19:38:37.711+11:00,Special code,value19,Web,complete,paste,2019-03-07T19:38:39.655+11:00,OK,Web,complete,clickButton,2019-03-07T19:38:42.591+11:00,,
293,name,name1614,Web,complete,insertValue,2019-03-07T19:38:52.591+11:00,surname,surname1614,Web,complete,insertValue,2019-03-07T19:39:01.339+11:00,age,age24,Web,complete,insertValue,2019-03-07T19:39:14.921+11:00,T1,type,Web,complete,insertValue,2019-03-07T19:39:23.156+11:00,confirm,Web,complete,clickButton,2019-03-07T19:39:28.844+11:00,B1,Web,complete,clickButton,2019-03-07T19:39:31.952+11:00,name,name1614,Web,complete,copy,2019-03-07T19:39:34.194+11:00,paste,B,name,name1614,Excel,1,complete,2019-03-07T19:39:38.254+11:00,surname,surname1614,Web,complete,copy,2019-03-07T19:39:41.837+11:00,paste,B,surname,surname1614,Excel,1,complete,2019-03-07T19:39:43.984+11:00,add,Web,complete
294,name,name432,Web,complete,insertValue,2019-03-07T19:40:02.554+11:00,surname,surname432,Web,complete,insertValue,2019-03-07T19:40:17.646+11:00,age,age28,Web,complete,insertValue,2019-03-07T19:40:27.699+11:00,T1,type,Web,complete,insertValue,2019-03-07T19:40:38.302+11:00,confirm,Web,complete,clickButton,2019-03-07T19:40:44.749+11:00,B1,Web,complete,clickButton,2019-03-07T19:40:48.349+11:00,name,name432,Web,complete,copy,2019-03-07T19:40:51.439+11:00,paste,B,name,name432,Excel,1,complete,2019-03-07T19:40:53.954+11:00,surname,surname432,Web,complete,copy,2019-03-07T19:40:58.712+11:00,paste,B,surname,surname432,Excel,1,complete,2019-03-07T19:41:01.717+11:00,add,Web,complete
295,name,name3710,Web,complete,insertValue,2019-03-07T19:41:20.596+11:00,surname,surname3710,Web,complete,insertValue,2019-03-07T19:41:24.005+11:00,age,age34,Web,complete,insertValue,2019-03-07T19:41:33.280+11:00,T2,type,Web,complete,insertValue,2019-03-07T19:41:38.456+11:00,confirm,Web,complete,clickButton,2019-03-07T19:41:42.065+11:00,B2,Web,complete,clickButton,2019-03-07T19:41:43.908+11:00,value1,value295,Web,complete,insertValue,2019-03-07T19:41:46.788+11:00,code,18,Web,complete,insertValue,2019-03-07T19:41:53.792+11:00,B6,Web,complete,clickButton,2019-03-07T19:41:53.792+11:00,open,Web,complete,clickButton,2019-03-07T19:41:56.697+11:00,code,18,Web,complete,copy,2019-03-07T19:41:58.858+11:00,paste,B,name
296,name,name2336,Web,complete,insertValue,2019-03-07T19:42:30.823+11:00,surname,surname2336,Web,complete,insertValue,2019-03-07T19:42:43.973+11:00,age,age20,Web,complete,insertValue,2019-03-07T19:42:52.355+11:00,T1,type,Web,complete,insertValue,2019-03-07T19:42:55.579+11:00,confirm,Web,complete,clickButton,2019-03-07T19:43:03.118+11:00,B1,Web,complete,clickButton,2019-03-07T19:43:05.833+11:00,name,name2336,Web,complete,copy,2019-03-07T19:43:07.384+11:00,paste,B,name,name2336,Excel,1,complete,2019-03-07T19:43:11.921+11:00,surname,surname2336,Web,complete,copy,2019-03-07T19:43:14.595+11:00,paste,B,surname,surname2336,Excel,1,complete,2019-03-07T19:43:17.054+11:00,add,Web,complete
297,name,name2790,Web,complete,insertValue,2019-03-07T19:43:34.956+11:00,surname,surname2790,Web,complete,insertValue,2019-03-07T19:43:41.695+11:00,age,age50,Web,complete,insertValue,2019-03-07T19:43:45.544+11:00,T3,type,Web,complete,insertValue,2019-03-07T19:43:49.603+11:00,confirm,Web,complete,clickButton,2019-03-07T19:43:54.906+11:00,B4,Web,complete,clickButton,2019-03-07T19:43:59.628+11:00,Clients,Web,complete,clickButton,2019-03-07T19:44:01.262+11:00,clientID,ID2790,Web,complete,insertValue,2019-03-07T19:44:03.088+11:00,Web,complete,pressKey,2019-03-07T19:44:03.687+11:00,enter,update,ID2790,Web,complete,clickButton,2019-03-07T19:44:06.498+11:00,address,addA1103addB888,Web,complete,insertValue,2019-03-07T19:44:09.035+11:00,Australia,country,Web
298,name,name3859,Web,complete,insertValue,2019-03-07T19:45:01.152+11:00,surname,surname3859,Web,complete,insertValue,2019-03-07T19:45:12.119+11:00,age,age27,Web,complete,insertValue,2019-03-07T19:45:25.910+11:00,T1,type,Web,complete,insertValue,2019-03-07T19:45:38.513+11:00,confirm,Web,complete,clickButton,2019-03-07T19:45:51.277+11:00,B1,Web,complete,clickButton,2019-03-07T19:45:54.558+11:00,name,name3859,Web,complete,copy,2019-03-07T19:45:57.863+11:00,paste,B,name,name3859,Excel,1,complete,2019-03-07T19:46:00.371+11:00,surname,surname3859,Web,complete,copy,2019-03-07T19:46:03.059+11:00,paste,B,surname,surname3859,Excel,1,complete,2019-03-07T19:46:06.755+11:00,add,Web,complete
299,name,name3023,Web,complete,insertValue,2019-03-07T19:46:28.555+11:00,surname,surname3023,Web,complete,insertValue,2019-03-07T19:46:46.344+11:00,age,age19,Web,complete,insertValue,2019-03-07T19:46:53.059+11:00,T3,type,Web,complete,insertValue,2019-03-07T19:47:02.289+11:00,confirm,Web,complete,clickButton,2019-03-07T19:47:05.552+11:00,B4,Web,complete,clickButton,2019-03-07T19:47:08.203+11:00,Clients,Web,complete,clickButton,2019-03-07T19:47:10.265+11:00,clientID,ID3023,Web,complete,insertValue,2019-03-07T19:47:12.175+11:00,Web,complete,pressKey,2019-03-07T19:47:30.180+11:00,enter,update,ID3023,Web,complete,clickButton,2019-03-07T19:47:32.954+11:00,address,addA2642addB588,Web,complete,insertValue,2019-03-07T19:47:36.303+11:00,Country84,country,Web
300,name,name3383,Web,complete,insertValue,2019-03-07T19:48:05.213+11:00,surname,surname3383,Web,complete,insertValue,2019-03-07T19:48:06.621+11:00,age,age49,Web,complete,insertValue,2019-03-07T19:48:17.944+11:00,T3,type,Web,complete,insertValue,2019-03-07T19:48:31.267+11:00,confirm,Web,complete,clickButton,2019-03-07T19:48:40.504+11:00,B4,Web,complete,clickButton,2019-03-07T19:48:44.083+11:00,Clients,Web,complete,clickButton,2019-03-07T19:48:47.191+11:00,clientID,ID3383,Web,complete,insertValue,2019-03-07T19:48:51.416+11:00,Web,complete,pressKey,2019-03-07T19:48:55.196+11:00,enter,update,ID3383,Web,complete,clickButton,2019-03-07T19:48:59.424+11:00,address,addA2678addB3390,Web,complete,insertValue,2019-03-07T19:49:01.557+11:00,Country174,country,Web
